# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00059684
   -9.95995996    0.00060001
   -9.91991992    0.00060320
   -9.87987988    0.00060642
   -9.83983984    0.00060967
   -9.79979980    0.00061295
   -9.75975976    0.00061626
   -9.71971972    0.00061959
   -9.67967968    0.00062296
   -9.63963964    0.00062636
   -9.59959960    0.00062978
   -9.55955956    0.00063324
   -9.51951952    0.00063673
   -9.47947948    0.00064025
   -9.43943944    0.00064381
   -9.39939940    0.00064739
   -9.35935936    0.00065101
   -9.31931932    0.00065467
   -9.27927928    0.00065835
   -9.23923924    0.00066208
   -9.19919920    0.00066583
   -9.15915916    0.00066962
   -9.11911912    0.00067345
   -9.07907908    0.00067731
   -9.03903904    0.00068122
   -8.99899900    0.00068515
   -8.95895896    0.00068913
   -8.91891892    0.00069314
   -8.87887888    0.00069720
   -8.83883884    0.00070129
   -8.79879880    0.00070542
   -8.75875876    0.00070960
   -8.71871872    0.00071381
   -8.67867868    0.00071807
   -8.63863864    0.00072237
   -8.59859860    0.00072671
   -8.55855856    0.00073109
   -8.51851852    0.00073552
   -8.47847848    0.00074000
   -8.43843844    0.00074452
   -8.39839840    0.00074908
   -8.35835836    0.00075370
   -8.31831832    0.00075836
   -8.27827828    0.00076307
   -8.23823824    0.00076783
   -8.19819820    0.00077264
   -8.15815816    0.00077750
   -8.11811812    0.00078241
   -8.07807808    0.00078737
   -8.03803804    0.00079239
   -7.99799800    0.00079746
   -7.95795796    0.00080258
   -7.91791792    0.00080776
   -7.87787788    0.00081300
   -7.83783784    0.00081829
   -7.79779780    0.00082364
   -7.75775776    0.00082906
   -7.71771772    0.00083453
   -7.67767768    0.00084006
   -7.63763764    0.00084566
   -7.59759760    0.00085132
   -7.55755756    0.00085704
   -7.51751752    0.00086283
   -7.47747748    0.00086868
   -7.43743744    0.00087460
   -7.39739740    0.00088059
   -7.35735736    0.00088666
   -7.31731732    0.00089279
   -7.27727728    0.00089899
   -7.23723724    0.00090527
   -7.19719720    0.00091162
   -7.15715716    0.00091805
   -7.11711712    0.00092456
   -7.07707708    0.00093114
   -7.03703704    0.00093781
   -6.99699700    0.00094456
   -6.95695696    0.00095139
   -6.91691692    0.00095830
   -6.87687688    0.00096530
   -6.83683684    0.00097239
   -6.79679680    0.00097957
   -6.75675676    0.00098684
   -6.71671672    0.00099421
   -6.67667668    0.00100166
   -6.63663664    0.00100922
   -6.59659660    0.00101687
   -6.55655656    0.00102462
   -6.51651652    0.00103248
   -6.47647648    0.00104044
   -6.43643644    0.00104850
   -6.39639640    0.00105668
   -6.35635636    0.00106496
   -6.31631632    0.00107336
   -6.27627628    0.00108187
   -6.23623624    0.00109050
   -6.19619620    0.00109924
   -6.15615616    0.00110811
   -6.11611612    0.00111711
   -6.07607608    0.00112623
   -6.03603604    0.00113548
   -5.99599600    0.00114487
   -5.95595596    0.00115438
   -5.91591592    0.00116404
   -5.87587588    0.00117384
   -5.83583584    0.00118378
   -5.79579580    0.00119388
   -5.75575576    0.00120412
   -5.71571572    0.00121451
   -5.67567568    0.00122506
   -5.63563564    0.00123578
   -5.59559560    0.00124666
   -5.55555556    0.00125770
   -5.51551552    0.00126892
   -5.47547548    0.00128032
   -5.43543544    0.00129189
   -5.39539540    0.00130365
   -5.35535536    0.00131560
   -5.31531532    0.00132775
   -5.27527528    0.00134009
   -5.23523524    0.00135263
   -5.19519520    0.00136538
   -5.15515516    0.00137835
   -5.11511512    0.00139153
   -5.07507508    0.00140494
   -5.03503504    0.00141857
   -4.99499499    0.00143245
   -4.95495495    0.00144656
   -4.91491491    0.00146092
   -4.87487487    0.00147553
   -4.83483483    0.00149041
   -4.79479479    0.00150555
   -4.75475475    0.00152097
   -4.71471471    0.00153666
   -4.67467467    0.00155265
   -4.63463463    0.00156894
   -4.59459459    0.00158553
   -4.55455455    0.00160244
   -4.51451451    0.00161967
   -4.47447447    0.00163723
   -4.43443443    0.00165513
   -4.39439439    0.00167339
   -4.35435435    0.00169201
   -4.31431431    0.00171100
   -4.27427427    0.00173037
   -4.23423423    0.00175014
   -4.19419419    0.00177032
   -4.15415415    0.00179092
   -4.11411411    0.00181195
   -4.07407407    0.00183342
   -4.03403403    0.00185536
   -3.99399399    0.00187777
   -3.95395395    0.00190067
   -3.91391391    0.00192408
   -3.87387387    0.00194800
   -3.83383383    0.00197247
   -3.79379379    0.00199750
   -3.75375375    0.00202310
   -3.71371371    0.00204930
   -3.67367367    0.00207612
   -3.63363363    0.00210357
   -3.59359359    0.00213169
   -3.55355355    0.00216049
   -3.51351351    0.00219000
   -3.47347347    0.00222024
   -3.43343343    0.00225124
   -3.39339339    0.00228304
   -3.35335335    0.00231565
   -3.31331331    0.00234911
   -3.27327327    0.00238346
   -3.23323323    0.00241873
   -3.19319319    0.00245494
   -3.15315315    0.00249215
   -3.11311311    0.00253040
   -3.07307307    0.00256971
   -3.03303303    0.00261014
   -2.99299299    0.00265174
   -2.95295295    0.00269455
   -2.91291291    0.00273863
   -2.87287287    0.00278402
   -2.83283283    0.00283080
   -2.79279279    0.00287901
   -2.75275275    0.00292873
   -2.71271271    0.00298002
   -2.67267267    0.00303295
   -2.63263263    0.00308761
   -2.59259259    0.00314407
   -2.55255255    0.00320242
   -2.51251251    0.00326276
   -2.47247247    0.00332517
   -2.43243243    0.00338977
   -2.39239239    0.00345667
   -2.35235235    0.00352598
   -2.31231231    0.00359783
   -2.27227227    0.00367236
   -2.23223223    0.00374971
   -2.19219219    0.00383003
   -2.15215215    0.00391349
   -2.11211211    0.00400026
   -2.07207207    0.00409054
