# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00046166
   -9.95995996    0.00046357
   -9.91991992    0.00046550
   -9.87987988    0.00046744
   -9.83983984    0.00046939
   -9.79979980    0.00047135
   -9.75975976    0.00047333
   -9.71971972    0.00047532
   -9.67967968    0.00047732
   -9.63963964    0.00047933
   -9.59959960    0.00048136
   -9.55955956    0.00048340
   -9.51951952    0.00048545
   -9.47947948    0.00048752
   -9.43943944    0.00048960
   -9.39939940    0.00049169
   -9.35935936    0.00049380
   -9.31931932    0.00049592
   -9.27927928    0.00049806
   -9.23923924    0.00050021
   -9.19919920    0.00050237
   -9.15915916    0.00050455
   -9.11911912    0.00050674
   -9.07907908    0.00050895
   -9.03903904    0.00051117
   -8.99899900    0.00051341
   -8.95895896    0.00051566
   -8.91891892    0.00051793
   -8.87887888    0.00052021
   -8.83883884    0.00052251
   -8.79879880    0.00052482
   -8.75875876    0.00052715
   -8.71871872    0.00052950
   -8.67867868    0.00053186
   -8.63863864    0.00053424
   -8.59859860    0.00053663
   -8.55855856    0.00053904
   -8.51851852    0.00054147
   -8.47847848    0.00054391
   -8.43843844    0.00054637
   -8.39839840    0.00054885
   -8.35835836    0.00055135
   -8.31831832    0.00055386
   -8.27827828    0.00055639
   -8.23823824    0.00055894
   -8.19819820    0.00056150
   -8.15815816    0.00056409
   -8.11811812    0.00056669
   -8.07807808    0.00056931
   -8.03803804    0.00057195
   -7.99799800    0.00057461
   -7.95795796    0.00057729
   -7.91791792    0.00057998
   -7.87787788    0.00058270
   -7.83783784    0.00058544
   -7.79779780    0.00058819
   -7.75775776    0.00059097
   -7.71771772    0.00059376
   -7.67767768    0.00059658
   -7.63763764    0.00059942
   -7.59759760    0.00060227
   -7.55755756    0.00060515
   -7.51751752    0.00060805
   -7.47747748    0.00061098
   -7.43743744    0.00061392
   -7.39739740    0.00061688
   -7.35735736    0.00061987
   -7.31731732    0.00062288
   -7.27727728    0.00062591
   -7.23723724    0.00062897
   -7.19719720    0.00063204
   -7.15715716    0.00063515
   -7.11711712    0.00063827
   -7.07707708    0.00064142
   -7.03703704    0.00064459
   -6.99699700    0.00064779
   -6.95695696    0.00065101
   -6.91691692    0.00065426
   -6.87687688    0.00065753
   -6.83683684    0.00066082
   -6.79679680    0.00066415
   -6.75675676    0.00066749
   -6.71671672    0.00067087
   -6.67667668    0.00067427
   -6.63663664    0.00067770
   -6.59659660    0.00068115
   -6.55655656    0.00068463
   -6.51651652    0.00068814
   -6.47647648    0.00069168
   -6.43643644    0.00069524
   -6.39639640    0.00069884
   -6.35635636    0.00070246
   -6.31631632    0.00070611
   -6.27627628    0.00070979
   -6.23623624    0.00071350
   -6.19619620    0.00071724
   -6.15615616    0.00072102
   -6.11611612    0.00072482
   -6.07607608    0.00072865
   -6.03603604    0.00073252
   -5.99599600    0.00073641
   -5.95595596    0.00074034
   -5.91591592    0.00074430
   -5.87587588    0.00074830
   -5.83583584    0.00075233
   -5.79579580    0.00075639
   -5.75575576    0.00076048
   -5.71571572    0.00076461
   -5.67567568    0.00076878
   -5.63563564    0.00077298
   -5.59559560    0.00077722
   -5.55555556    0.00078149
   -5.51551552    0.00078580
   -5.47547548    0.00079014
   -5.43543544    0.00079453
   -5.39539540    0.00079895
   -5.35535536    0.00080341
   -5.31531532    0.00080791
   -5.27527528    0.00081245
   -5.23523524    0.00081702
   -5.19519520    0.00082164
   -5.15515516    0.00082630
   -5.11511512    0.00083100
   -5.07507508    0.00083574
   -5.03503504    0.00084052
   -4.99499499    0.00084535
   -4.95495495    0.00085022
   -4.91491491    0.00085514
   -4.87487487    0.00086009
   -4.83483483    0.00086510
   -4.79479479    0.00087015
   -4.75475475    0.00087524
   -4.71471471    0.00088038
   -4.67467467    0.00088557
   -4.63463463    0.00089081
   -4.59459459    0.00089609
   -4.55455455    0.00090143
   -4.51451451    0.00090681
   -4.47447447    0.00091224
   -4.43443443    0.00091773
   -4.39439439    0.00092327
   -4.35435435    0.00092886
   -4.31431431    0.00093450
   -4.27427427    0.00094019
   -4.23423423    0.00094594
   -4.19419419    0.00095175
   -4.15415415    0.00095761
   -4.11411411    0.00096353
   -4.07407407    0.00096951
   -4.03403403    0.00097554
   -3.99399399    0.00098163
   -3.95395395    0.00098779
   -3.91391391    0.00099400
   -3.87387387    0.00100027
   -3.83383383    0.00100661
   -3.79379379    0.00101301
   -3.75375375    0.00101948
   -3.71371371    0.00102600
   -3.67367367    0.00103260
   -3.63363363    0.00103926
   -3.59359359    0.00104599
   -3.55355355    0.00105279
   -3.51351351    0.00105966
   -3.47347347    0.00106660
   -3.43343343    0.00107361
   -3.39339339    0.00108069
   -3.35335335    0.00108784
   -3.31331331    0.00109508
   -3.27327327    0.00110238
   -3.23323323    0.00110977
   -3.19319319    0.00111723
   -3.15315315    0.00112477
   -3.11311311    0.00113239
   -3.07307307    0.00114010
   -3.03303303    0.00114788
   -2.99299299    0.00115575
   -2.95295295    0.00116371
   -2.91291291    0.00117175
   -2.87287287    0.00117988
   -2.83283283    0.00118811
   -2.79279279    0.00119642
   -2.75275275    0.00120482
   -2.71271271    0.00121332
   -2.67267267    0.00122191
   -2.63263263    0.00123060
   -2.59259259    0.00123938
   -2.55255255    0.00124827
   -2.51251251    0.00125726
   -2.47247247    0.00126635
   -2.43243243    0.00127554
   -2.39239239    0.00128484
   -2.35235235    0.00129425
   -2.31231231    0.00130377
   -2.27227227    0.00131340
   -2.23223223    0.00132315
   -2.19219219    0.00133300
   -2.15215215    0.00134298
   -2.11211211    0.00135307
   -2.07207207    0.00136329
   -2.03203203    0.00137363
   -1.99199199    0.00138410
   -1.95195195    0.00139469
   -1.91191191    0.00140541
   -1.87187187    0.00141626
   -1.83183183    0.00142725
   -1.79179179    0.00143838
   -1.75175175    0.00144964
   -1.71171171    0.00146105
   -1.67167167    0.00147260
   -1.63163163    0.00148429
   -1.59159159    0.00149614
   -1.55155155    0.00150814
   -1.51151151    0.00152029
   -1.47147147    0.00153260
   -1.43143143    0.00154507
   -1.39139139    0.00155771
   -1.35135135    0.00157051
   -1.31131131    0.00158348
   -1.27127127    0.00159663
   -1.23123123    0.00160996
   -1.19119119    0.00162346
   -1.15115115    0.00163715
   -1.11111111    0.00165103
   -1.07107107    0.00166509
   -1.03103103    0.00167936
   -0.99099099    0.00169382
   -0.95095095    0.00170849
   -0.91091091    0.00172337
   -0.87087087    0.00173846
   -0.83083083    0.00175377
   -0.79079079    0.00176930
   -0.75075075    0.00178506
   -0.71071071    0.00180106
   -0.67067067    0.00181729
   -0.63063063    0.00183377
