# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00046165
   -9.95995996    0.00046356
   -9.91991992    0.00046549
   -9.87987988    0.00046743
   -9.83983984    0.00046938
   -9.79979980    0.00047134
   -9.75975976    0.00047332
   -9.71971972    0.00047531
   -9.67967968    0.00047731
   -9.63963964    0.00047932
   -9.59959960    0.00048135
   -9.55955956    0.00048339
   -9.51951952    0.00048544
   -9.47947948    0.00048751
   -9.43943944    0.00048959
   -9.39939940    0.00049168
   -9.35935936    0.00049379
   -9.31931932    0.00049591
   -9.27927928    0.00049805
   -9.23923924    0.00050020
   -9.19919920    0.00050236
   -9.15915916    0.00050454
   -9.11911912    0.00050673
   -9.07907908    0.00050894
   -9.03903904    0.00051116
   -8.99899900    0.00051340
   -8.95895896    0.00051565
   -8.91891892    0.00051792
   -8.87887888    0.00052020
   -8.83883884    0.00052250
   -8.79879880    0.00052481
   -8.75875876    0.00052714
   -8.71871872    0.00052949
   -8.67867868    0.00053185
   -8.63863864    0.00053423
   -8.59859860    0.00053662
   -8.55855856    0.00053903
   -8.51851852    0.00054146
   -8.47847848    0.00054390
   -8.43843844    0.00054636
   -8.39839840    0.00054884
   -8.35835836    0.00055133
   -8.31831832    0.00055385
   -8.27827828    0.00055638
   -8.23823824    0.00055892
   -8.19819820    0.00056149
   -8.15815816    0.00056407
   -8.11811812    0.00056668
   -8.07807808    0.00056930
   -8.03803804    0.00057194
   -7.99799800    0.00057460
   -7.95795796    0.00057727
   -7.91791792    0.00057997
   -7.87787788    0.00058269
   -7.83783784    0.00058542
   -7.79779780    0.00058818
   -7.75775776    0.00059095
   -7.71771772    0.00059375
   -7.67767768    0.00059656
   -7.63763764    0.00059940
   -7.59759760    0.00060226
   -7.55755756    0.00060514
   -7.51751752    0.00060804
   -7.47747748    0.00061096
   -7.43743744    0.00061390
   -7.39739740    0.00061687
   -7.35735736    0.00061985
   -7.31731732    0.00062286
   -7.27727728    0.00062589
   -7.23723724    0.00062895
   -7.19719720    0.00063203
   -7.15715716    0.00063513
   -7.11711712    0.00063825
   -7.07707708    0.00064140
   -7.03703704    0.00064457
   -6.99699700    0.00064777
   -6.95695696    0.00065099
   -6.91691692    0.00065424
   -6.87687688    0.00065751
   -6.83683684    0.00066080
   -6.79679680    0.00066413
   -6.75675676    0.00066747
   -6.71671672    0.00067085
   -6.67667668    0.00067425
   -6.63663664    0.00067767
   -6.59659660    0.00068113
   -6.55655656    0.00068461
   -6.51651652    0.00068812
   -6.47647648    0.00069166
   -6.43643644    0.00069522
   -6.39639640    0.00069881
   -6.35635636    0.00070244
   -6.31631632    0.00070609
   -6.27627628    0.00070977
   -6.23623624    0.00071348
   -6.19619620    0.00071722
   -6.15615616    0.00072099
   -6.11611612    0.00072479
   -6.07607608    0.00072863
   -6.03603604    0.00073249
   -5.99599600    0.00073639
   -5.95595596    0.00074032
   -5.91591592    0.00074428
   -5.87587588    0.00074827
   -5.83583584    0.00075230
   -5.79579580    0.00075636
   -5.75575576    0.00076046
   -5.71571572    0.00076459
   -5.67567568    0.00076875
   -5.63563564    0.00077295
   -5.59559560    0.00077719
   -5.55555556    0.00078146
   -5.51551552    0.00078577
   -5.47547548    0.00079012
   -5.43543544    0.00079450
   -5.39539540    0.00079892
   -5.35535536    0.00080338
   -5.31531532    0.00080788
   -5.27527528    0.00081242
   -5.23523524    0.00081699
   -5.19519520    0.00082161
   -5.15515516    0.00082627
   -5.11511512    0.00083097
   -5.07507508    0.00083571
   -5.03503504    0.00084049
   -4.99499499    0.00084532
   -4.95495495    0.00085019
   -4.91491491    0.00085510
   -4.87487487    0.00086006
   -4.83483483    0.00086506
   -4.79479479    0.00087011
   -4.75475475    0.00087521
   -4.71471471    0.00088035
   -4.67467467    0.00088554
   -4.63463463    0.00089077
   -4.59459459    0.00089606
   -4.55455455    0.00090139
   -4.51451451    0.00090677
   -4.47447447    0.00091221
   -4.43443443    0.00091769
   -4.39439439    0.00092323
   -4.35435435    0.00092882
   -4.31431431    0.00093446
   -4.27427427    0.00094015
   -4.23423423    0.00094590
   -4.19419419    0.00095171
   -4.15415415    0.00095757
   -4.11411411    0.00096349
   -4.07407407    0.00096946
   -4.03403403    0.00097550
   -3.99399399    0.00098159
   -3.95395395    0.00098774
   -3.91391391    0.00099395
   -3.87387387    0.00100023
   -3.83383383    0.00100657
   -3.79379379    0.00101297
   -3.75375375    0.00101943
   -3.71371371    0.00102596
   -3.67367367    0.00103255
   -3.63363363    0.00103921
   -3.59359359    0.00104594
   -3.55355355    0.00105274
   -3.51351351    0.00105961
   -3.47347347    0.00106655
   -3.43343343    0.00107355
   -3.39339339    0.00108064
   -3.35335335    0.00108779
   -3.31331331    0.00109502
   -3.27327327    0.00110233
   -3.23323323    0.00110971
   -3.19319319    0.00111717
   -3.15315315    0.00112472
   -3.11311311    0.00113234
   -3.07307307    0.00114004
   -3.03303303    0.00114783
   -2.99299299    0.00115570
   -2.95295295    0.00116365
   -2.91291291    0.00117169
   -2.87287287    0.00117982
   -2.83283283    0.00118804
   -2.79279279    0.00119635
   -2.75275275    0.00120476
   -2.71271271    0.00121325
   -2.67267267    0.00122184
   -2.63263263    0.00123053
   -2.59259259    0.00123932
   -2.55255255    0.00124820
   -2.51251251    0.00125719
   -2.47247247    0.00126628
   -2.43243243    0.00127547
   -2.39239239    0.00128477
   -2.35235235    0.00129418
   -2.31231231    0.00130370
   -2.27227227    0.00131333
   -2.23223223    0.00132307
   -2.19219219    0.00133293
   -2.15215215    0.00134290
   -2.11211211    0.00135299
   -2.07207207    0.00136321
   -2.03203203    0.00137355
   -1.99199199    0.00138401
   -1.95195195    0.00139460
   -1.91191191    0.00140532
   -1.87187187    0.00141618
   -1.83183183    0.00142716
   -1.79179179    0.00143829
   -1.75175175    0.00144955
   -1.71171171    0.00146095
   -1.67167167    0.00147250
   -1.63163163    0.00148420
   -1.59159159    0.00149604
   -1.55155155    0.00150804
   -1.51151151    0.00152019
   -1.47147147    0.00153250
   -1.43143143    0.00154497
   -1.39139139    0.00155760
   -1.35135135    0.00157040
   -1.31131131    0.00158337
   -1.27127127    0.00159652
   -1.23123123    0.00160984
   -1.19119119    0.00162335
   -1.15115115    0.00163703
   -1.11111111    0.00165091
   -1.07107107    0.00166497
   -1.03103103    0.00167924
   -0.99099099    0.00169370
   -0.95095095    0.00170837
   -0.91091091    0.00172324
   -0.87087087    0.00173833
   -0.83083083    0.00175364
   -0.79079079    0.00176917
   -0.75075075    0.00178493
   -0.71071071    0.00180092
   -0.67067067    0.00181715
   -0.63063063    0.00183363
   -0.59059059    0.00185035
   -0.55055055    0.00186734
   -0.51051051    0.00188458
   -0.47047047    0.00190210
   -0.43043043    0.00191990
   -0.39039039    0.00193797
   -0.35035035    0.00195634
   -0.31031031    0.00197501
   -0.27027027    0.00199399
   -0.23023023    0.00201327
   -0.19019019    0.00203288
   -0.15015015    0.00205281
   -0.11011011    0.00207308
   -0.07007007    0.00209358
   -0.03003003    0.00211444
    0.01001001    0.00213571
    0.05005005    0.00215742
    0.09009009    0.00217957
    0.13013013    0.00220201
    0.17017017    0.00222478
    0.21021021    0.00224795
    0.25025025    0.00227151
    0.29029029    0.00229548
    0.33033033    0.00231987
    0.37037037    0.00234468
    0.41041041    0.00236992
    0.45045045    0.00239561
    0.49049049    0.00242175
    0.53053053    0.00244836
    0.57057057    0.00247545
    0.61061061    0.00250304
    0.65065065    0.00253116
    0.69069069    0.00255981
    0.73073073    0.00258902
    0.77077077    0.00261880
    0.81081081    0.00264917
    0.85085085    0.00268012
    0.89089089    0.00271167
    0.93093093    0.00274382
    0.97097097    0.00277657
    1.01101101    0.00280993
    1.05105105    0.00284390
    1.09109109    0.00287850
    1.13113113    0.00291374
    1.17117117    0.00294964
    1.21121121    0.00298622
    1.25125125    0.00302349
    1.29129129    0.00306147
    1.33133133    0.00310016
    1.37137137    0.00313956
    1.41141141    0.00317966
    1.45145145    0.00322046
    1.49149149    0.00326196
    1.53153153    0.00330417
    1.57157157    0.00334710
    1.61161161    0.00339078
    1.65165165    0.00343526
    1.69169169    0.00348057
    1.73173173    0.00352676
    1.77177177    0.00357389
    1.81181181    0.00362200
    1.85185185    0.00367114
    1.89189189    0.00372132
    1.93193193    0.00377258
    1.97197197    0.00382494
    2.01201201    0.00387841
    2.05205205    0.00393300
    2.09209209    0.00398876
    2.13213213    0.00404569
    2.17217217    0.00410384
    2.21221221    0.00416327
    2.25225225    0.00422401
    2.29229229    0.00428614
    2.33233233    0.00434971
    2.37237237    0.00441478
    2.41241241    0.00448141
    2.45245245    0.00454968
    2.49249249    0.00461963
    2.53253253    0.00469132
    2.57257257    0.00476484
    2.61261261    0.00484023
    2.65265265    0.00491759
    2.69269269    0.00499698
    2.73273273    0.00507850
    2.77277277    0.00516224
    2.81281281    0.00524830
    2.85285285    0.00533679
    2.89289289    0.00542782
    2.93293293    0.00552151
    2.97297297    0.00561797
    3.01301301    0.00571732
    3.05305305    0.00581971
    3.09309309    0.00592525
    3.13313313    0.00603410
    3.17317317    0.00614639
    3.21321321    0.00626229
    3.25325325    0.00638194
    3.29329329    0.00650553
    3.33333333    0.00663322
    3.37337337    0.00676521
    3.41341341    0.00690168
    3.45345345    0.00704285
    3.49349349    0.00718895
    3.53353353    0.00734023
    3.57357357    0.00749696
    3.61361361    0.00765943
    3.65365365    0.00782795
    3.69369369    0.00800287
