# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00081049
   -9.95995996    0.00081564
   -9.91991992    0.00082084
   -9.87987988    0.00082609
   -9.83983984    0.00083139
   -9.79979980    0.00083675
   -9.75975976    0.00084217
   -9.71971972    0.00084764
   -9.67967968    0.00085316
   -9.63963964    0.00085875
   -9.59959960    0.00086439
   -9.55955956    0.00087009
   -9.51951952    0.00087585
   -9.47947948    0.00088168
   -9.43943944    0.00088756
   -9.39939940    0.00089351
   -9.35935936    0.00089952
   -9.31931932    0.00090560
   -9.27927928    0.00091174
   -9.23923924    0.00091794
   -9.19919920    0.00092422
   -9.15915916    0.00093056
   -9.11911912    0.00093698
   -9.07907908    0.00094346
   -9.03903904    0.00095002
   -8.99899900    0.00095665
   -8.95895896    0.00096335
   -8.91891892    0.00097013
   -8.87887888    0.00097698
   -8.83883884    0.00098391
   -8.79879880    0.00099092
   -8.75875876    0.00099801
   -8.71871872    0.00100518
   -8.67867868    0.00101244
   -8.63863864    0.00101978
   -8.59859860    0.00102720
   -8.55855856    0.00103471
   -8.51851852    0.00104231
   -8.47847848    0.00105000
   -8.43843844    0.00105777
   -8.39839840    0.00106565
   -8.35835836    0.00107361
   -8.31831832    0.00108167
   -8.27827828    0.00108983
   -8.23823824    0.00109808
   -8.19819820    0.00110644
   -8.15815816    0.00111490
   -8.11811812    0.00112346
   -8.07807808    0.00113213
   -8.03803804    0.00114091
   -7.99799800    0.00114979
   -7.95795796    0.00115879
   -7.91791792    0.00116790
   -7.87787788    0.00117712
   -7.83783784    0.00118646
   -7.79779780    0.00119592
   -7.75775776    0.00120550
   -7.71771772    0.00121521
   -7.67767768    0.00122504
   -7.63763764    0.00123500
   -7.59759760    0.00124509
   -7.55755756    0.00125531
   -7.51751752    0.00126567
   -7.47747748    0.00127616
   -7.43743744    0.00128680
   -7.39739740    0.00129758
   -7.35735736    0.00130850
   -7.31731732    0.00131957
   -7.27727728    0.00133079
   -7.23723724    0.00134217
   -7.19719720    0.00135370
   -7.15715716    0.00136540
   -7.11711712    0.00137725
   -7.07707708    0.00138927
   -7.03703704    0.00140146
   -6.99699700    0.00141383
   -6.95695696    0.00142637
   -6.91691692    0.00143909
   -6.87687688    0.00145199
   -6.83683684    0.00146508
   -6.79679680    0.00147836
   -6.75675676    0.00149183
   -6.71671672    0.00150551
   -6.67667668    0.00151938
   -6.63663664    0.00153346
   -6.59659660    0.00154776
   -6.55655656    0.00156227
   -6.51651652    0.00157700
   -6.47647648    0.00159195
   -6.43643644    0.00160713
   -6.39639640    0.00162255
   -6.35635636    0.00163820
   -6.31631632    0.00165411
   -6.27627628    0.00167026
   -6.23623624    0.00168666
   -6.19619620    0.00170333
   -6.15615616    0.00172026
   -6.11611612    0.00173747
   -6.07607608    0.00175496
   -6.03603604    0.00177273
   -5.99599600    0.00179079
   -5.95595596    0.00180915
   -5.91591592    0.00182782
   -5.87587588    0.00184679
   -5.83583584    0.00186609
   -5.79579580    0.00188572
   -5.75575576    0.00190568
   -5.71571572    0.00192598
   -5.67567568    0.00194663
   -5.63563564    0.00196765
   -5.59559560    0.00198903
   -5.55555556    0.00201079
   -5.51551552    0.00203294
   -5.47547548    0.00205548
   -5.43543544    0.00207843
   -5.39539540    0.00210179
   -5.35535536    0.00212559
   -5.31531532    0.00214982
   -5.27527528    0.00217449
   -5.23523524    0.00219963
   -5.19519520    0.00222525
   -5.15515516    0.00225135
   -5.11511512    0.00227794
   -5.07507508    0.00230505
   -5.03503504    0.00233268
   -4.99499499    0.00236085
   -4.95495495    0.00238958
   -4.91491491    0.00241887
   -4.87487487    0.00244875
   -4.83483483    0.00247923
   -4.79479479    0.00251033
   -4.75475475    0.00254207
   -4.71471471    0.00257446
   -4.67467467    0.00260752
   -4.63463463    0.00264127
   -4.59459459    0.00267574
   -4.55455455    0.00271094
   -4.51451451    0.00274689
   -4.47447447    0.00278362
   -4.43443443    0.00282116
   -4.39439439    0.00285952
   -4.35435435    0.00289873
   -4.31431431    0.00293882
   -4.27427427    0.00297981
   -4.23423423    0.00302174
   -4.19419419    0.00306463
   -4.15415415    0.00310851
   -4.11411411    0.00315342
   -4.07407407    0.00319939
   -4.03403403    0.00324646
   -3.99399399    0.00329465
   -3.95395395    0.00334402
   -3.91391391    0.00339459
   -3.87387387    0.00344642
   -3.83383383    0.00349953
   -3.79379379    0.00355399
   -3.75375375    0.00360983
   -3.71371371    0.00366711
   -3.67367367    0.00372587
   -3.63363363    0.00378617
   -3.59359359    0.00384807
   -3.55355355    0.00391162
   -3.51351351    0.00397690
   -3.47347347    0.00404395
   -3.43343343    0.00411285
   -3.39339339    0.00418367
   -3.35335335    0.00425649
